"column_name";"field_description"
"average_trip_distance_by_car_to_work";"Work:Car:For each mode of transportation, please provide your estimated average round-trip distance for work, non-work errands, and all other types of trips."
"average_trip_distance_by_car_on_errands";"Non-work errands:Car:For each mode of transportation, please provide your estimated average round-trip distance for work, non-work errands, and all other types of trips."
"average_trip_distance_by_car_other_trips";"All other types of trips:Car:For each mode of transportation, please provide your estimated average round-trip distance for work, non-work errands, and all other types of trips."
"average_trip_distance_by_motorcycle_to_work";"Work:Motorcycle/scooter:For each mode of transportation, please provide your estimated average round-trip distance for work, non-work errands, and all other types of trips."
"average_trip_distance_by_motorcycle_on_errands";"Non-work errands:Motorcycle/scooter:For each mode of transportation, please provide your estimated average round-trip distance for work, non-work errands, and all other types of trips."
"average_trip_distance_by_motorcycle_other_trips";"All other types of trips:Motorcycle/scooter:For each mode of transportation, please provide your estimated average round-trip distance for work, non-work errands, and all other types of trips."
"average_trip_distance_by_public_transportation_to_work";"Work:Public transportation:For each mode of transportation, please provide your estimated average round-trip distance for work, non-work errands, and all other types of trips."
"average_trip_distance_by_public_transportation_on_errands";"Non-work errands:Public transportation:For each mode of transportation, please provide your estimated average round-trip distance for work, non-work errands, and all other types of trips."
"average_trip_distance_by_public_transportation_other_trips";"All other types of trips:Public transportation:For each mode of transportation, please provide your estimated average round-trip distance for work, non-work errands, and all other types of trips."
"average_trip_distance_by_bicycle_to_work";"Work:Bicycle:For each mode of transportation, please provide your estimated average round-trip distance for work, non-work errands, and all other types of trips."
"average_trip_distance_by_bicycle_on_errands";"Non-work errands:Bicycle:For each mode of transportation, please provide your estimated average round-trip distance for work, non-work errands, and all other types of trips."
"average_trip_distance_by_bicycle_other_trips";"All other types of trips:Bicycle:For each mode of transportation, please provide your estimated average round-trip distance for work, non-work errands, and all other types of trips."
"average_trip_distance_by_walking_to_work";"Work:Walking:For each mode of transportation, please provide your estimated average round-trip distance for work, non-work errands, and all other types of trips."
"average_trip_distance_by_walking_on_errands";"Non-work errands:Walking:For each mode of transportation, please provide your estimated average round-trip distance for work, non-work errands, and all other types of trips."
"average_trip_distance_by_walking_other_trips";"All other types of trips:Walking:For each mode of transportation, please provide your estimated average round-trip distance for work, non-work errands, and all other types of trips."
"access_to_home_energy_use_other_than_billing";"Do you have access to information about your home energy use beyond monthly billing information?"
"access_to_home_energy_use_own_device";"Yes: from a device I purchased myself (not from Pecan Street) Please identify device. Street)Please identify device.:Do you have access to information about your home energy use beyond monthly billing information?"
"more_information_could_help_reduce_energy_use";"If you do not have access to your home energy use, do you think such information would help you reduce energy use?"
"retrofits_made_due_to_energy_use_feedback";"Have you made any energy retrofits/upgrades to your house, electrical devices, appliances, etc. based on energy use feedback?"
"changes_to_habits_no";"No:Have you made changes to your routines or habits based on information about your energy use?"
"changes_to_habits_yes_lights";"Yes, I turn of lights/fans when not in room:Have you made changes to your routines or habits based on information about your energy use?"
"changes_to_habits_yes_ac";"Yes, I change my AC settings when not home:Have you made changes to your routines or habits based on information about your energy use?"
"changes_to_habits_yes_computers";"Yes, I power down computers when not in use:Have you made changes to your routines or habits based on information about your energy use?"
"changes_to_habits_no_information";"I haven't received any information about my energy use:Have you made changes to your routines or habits based on information about your energy use?"
"changes_to_habits_yes_other";"Yes, other (please explain):Have you made changes to your routines or habits based on information about your energy use?"
"consistently_monitored_usage";"If you have access to your home energy usage information, have you consistently monitored your usage?"
"online_portal_access";"Has Pecan Street or Sony has provided you with a home energy management online portal?"
"online_portal_best_features";"If Pecan Street or Sony has provided you with a home energy management online portal, Which features do you like best?"
"online_portal_desired_features";"If Pecan Street or Sony has provided you with a home energy management online portal, what other features would you like to see on the portal?"
"interested_in_demand_response";"Demand Response is a process whereby utilities curb peak electricity demand on specific days when weather conditions are expected to drive electricity use beyond the utility's generation or delivery capacity. If Demand Response events are successful, they play a critical role in preventing rolling brown-outs. During Demand Response events, utility's either remotely turn off a participant's air conditioner compressor to limit electricity use during the peak hours or the utility requests that the homeowner turn off their air conditioner for a set amount of time. Demand Response is always performed on a voluntary basis and when an event occurs, the homeowner is able to over-ride the utility's remote setting and control their air conditioner.If your Utility offered a Demand Response program, would you be interested in participating?"
"reason_interested_in_demand_response_energy_rates";"Discounted energy rates:If you would be interested in participating in a demand response prgroam, what rewards, if any, would you like in exchange for participating? Assume the following options all represent approximately the same monetary value."
"reason_interested_in_demand_response_free_thermostat";"Free remote controlled thermostat (including smart phone app):If you would be interested in participating in a demand response prgroam, what rewards, if any, would you like in exchange for participating? Assume the following options all represent approximately the same monetary value."
"reason_interested_in_demand_response_bill_credits";"Bill credits for Demand Response events in which you elect to participate:If you would be interested in participating in a demand response prgroam, what rewards, if any, would you like in exchange for participating? Assume the following options all represent approximately the same monetary value."
"reason_interested_in_demand_response_free_hems";"Free/rebated home energy management system:If you would be interested in participating in a demand response prgroam, what rewards, if any, would you like in exchange for participating? Assume the following options all represent approximately the same monetary value."
"reason_interested_in_demand_response_other";"Other:If you would be interested in participating in a demand response prgroam, what rewards, if any, would you like in exchange for participating? Assume the following options all represent approximately the same monetary value."
"reason_interested_in_demand_response_other_explanation";"Other:If you would be interested in participating in a demand response prgroam, what rewards, if any, would you like in exchange for participating? Assume the following options all represent approximately the same monetary value."
"environmental_benefit_ranking_retrofits";"Energy efficiency retrofits and energy saving tips that result in a 15% reduction on your electricity bill:Rank the following options according to which you think has the most environmental benefit. 1= most benefit, 3=least benefit"
"environmental_benefit_ranking_renewable_energy";"Renewable energy purchased by the utility through a green power purchasing program, similar to Austin Energy's GreenChoice Power Program, that guarantees 100% of your electricity comes from renewable sources  :Rank the following options according to which you think has the most environmental benefit. 1= most benefit, 3=least benefit"
"environmental_benefit_ranking_pv";"Distributed generation in the form of solar panels installed on your roof that provide about 40% of your electricity consumption throughout the year.:Rank the following options according to which you think has the most environmental benefit. 1= most benefit, 3=least benefit"
"how_utilities_can_help_customers_help_environment";"How do you think electricity utilities can best help their customers help the environment?"
"how_utilities_can_help_customers_help_environment_other";"Other:How do you think electricity utilities can best help their customers help the environment?"
"technology_with_incentives";"WITH incentives:Given your experience with efficient and renewable technologies enabled by participation with Pecan Street, are you more likely or less likely to purchase similar technologies in the future WITH or WITHOUT any similar incentives?"
"technology_without_incentives";"WITHOUT incentives:Given your experience with efficient and renewable technologies enabled by participation with Pecan Street, are you more likely or less likely to purchase similar technologies in the future WITH or WITHOUT any similar incentives?"
